EventId,EventTemplate,Occurrences
0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,9416
1,<*> Creating image,197
2,<*> VM <*> (Lifecycle Event),985
3,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",4
4,<*> During sync_power_state the instance has a pending task (spawning). Skip.,387
5,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,766
6,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",766
7,<*> base <*> /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1306
8,Creating event <*> for instance <*>,196
9,<*> Instance <*> successfully.,393
10,<*> Took <*>.<*> seconds to <*> the instance on the hypervisor.,393
11,<*> Took <*>.<*> seconds to build instance.,197
12,<*> Terminating instance,196
13,<*> Deleting instance files <*>,196
14,<*> Deletion of <*>complete,196
15,<*> Took <*>.<*> seconds to deallocate network for instance.,196
16,HTTP exception thrown: No instances found for any event,196
17,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,196
18,"<*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",196
19,"<*> <*> <*> <*> MB, <*> <*>.<*> MB",392
20,<*> Total <*> <*> <*> used: <*>.<*> <*>,392
21,"<*> <*> limit not specified, defaulting to unlimited",392
22,<*> Claim successful,196
23,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
24,"Total usable vcpus: <*>, total allocated vcpus: <*>",135
25,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,135
26,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
27,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,38
28,The instance sync for host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us' did not match. Re-created its InstanceList.,29
29,Base or swap file too young to remove: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,74
30,"couldn't obtain the vcpu count from domain id: b<*>d<*>-c<*>b-<*>fe-<*>-<*>f<*>b<*>b<*>d<*>, exception: Requested operation is not valid: cpu affinity is not supported",1
31,Running instance usage audit for host cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,2
